Most Anomalous Feature,Second Most Anomalous Feature,Third Anomalous Feature
'flag'_REJ,'dst_host_srv_diff_host_rate','service'_private
'flag'_REJ,'dst_host_srv_diff_host_rate','service'_private
'dst_host_srv_count','dst_host_same_src_port_rate','service'_ftp_data
'service'_urh_i,'protocol_type'_icmp,'service'_red_i
'service'_ssh,'flag'_RSTO,'service'_telnet
'dst_host_count','urgent','srv_diff_host_rate'
'service'_shell,'srv_diff_host_rate','srv_rerror_rate'
'wrong_fragment','service'_smtp,'service'_ssh
'urgent','dst_host_srv_count','diff_srv_rate'
'wrong_fragment','service'_ftp,'service'_http
'service'_smtp,'service'_ssh,'dst_host_srv_diff_host_rate'
'service'_shell,'srv_rerror_rate','srv_diff_host_rate'
'flag'_REJ,'dst_host_srv_diff_host_rate','service'_private
'service'_ssh,'count','flag'_S0
﻿id,'service'_ssh,'same_srv_rate'
'dst_host_count','urgent','srv_diff_host_rate'
'diff_srv_rate','urgent','dst_host_srv_diff_host_rate'
'dst_host_count','urgent','srv_diff_host_rate'
'num_outbound_cmds','protocol_type'_icmp,'dst_host_srv_count'
'flag'_REJ,'dst_host_srv_diff_host_rate','service'_private
'flag'_REJ,'dst_host_srv_diff_host_rate','srv_count'
'dst_host_diff_srv_rate','count','flag'_S0
'diff_srv_rate','urgent','dst_host_srv_diff_host_rate'
'dst_host_count','urgent','srv_diff_host_rate'
'flag'_REJ,'dst_host_srv_diff_host_rate','serror_rate'
'flag'_RSTO,'service'_telnet,'srv_count'
'diff_srv_rate','urgent','dst_host_srv_count'
'diff_srv_rate','urgent','dst_host_srv_diff_host_rate'
'service'_ecr_i,'service'_urh_i,'num_outbound_cmds'
'num_outbound_cmds','protocol_type'_icmp,'service'_urp_i
'flag'_RSTR,'srv_count','flag'_SF
'service'_shell,'srv_rerror_rate','srv_diff_host_rate'
'dst_host_count','urgent','srv_diff_host_rate'
'protocol_type'_icmp,'service'_urp_i,'dst_host_srv_count'
'rerror_rate','num_outbound_cmds','dst_host_count'
'flag'_RSTO,'rerror_rate','srv_rerror_rate'
'diff_srv_rate','urgent','srv_diff_host_rate'
'service'_ftp,'land','service'_smtp
'service'_domain_u,'protocol_type'_icmp,'service'_urp_i
'dst_host_srv_count','dst_host_same_src_port_rate','service'_ftp_data
'count','flag'_S0,'is_guest_login'
'dst_host_count','urgent','srv_diff_host_rate'
'dst_host_count','urgent','srv_diff_host_rate'
'diff_srv_rate','urgent','dst_host_srv_diff_host_rate'
'flag'_REJ,'dst_host_srv_diff_host_rate','serror_rate'
'diff_srv_rate','urgent','dst_host_srv_diff_host_rate'
'count','flag'_S0,'is_guest_login'
'land','diff_srv_rate','urgent'
'service'_ssh,'dst_host_diff_srv_rate','srv_rerror_rate'
'protocol_type'_icmp,'service'_urp_i,'service'_private
'diff_srv_rate','dst_host_count','urgent'
'urgent','srv_diff_host_rate','diff_srv_rate'
'flag'_REJ,'dst_host_srv_diff_host_rate','serror_rate'
'flag'_REJ,'dst_host_srv_diff_host_rate','service'_private
'service'_ftp,'land','num_access_files'
'dst_host_count','urgent','srv_diff_host_rate'
'flag'_REJ,'dst_host_srv_diff_host_rate','dst_host_serror_rate'
'protocol_type'_icmp,'service'_urp_i,'service'_private
'protocol_type'_tcp,'service'_smtp,'service'_ssh
'diff_srv_rate','urgent','dst_host_srv_diff_host_rate'
'srv_diff_host_rate','diff_srv_rate','urgent'
'dst_host_srv_count','dst_host_same_srv_rate','same_srv_rate'
'urgent','srv_serror_rate','srv_diff_host_rate'
'diff_srv_rate','urgent','srv_diff_host_rate'
'dst_host_count','rerror_rate','num_outbound_cmds'
'diff_srv_rate','urgent','dst_host_srv_diff_host_rate'
'service'_ssh,'srv_count','flag'_SF
'flag'_REJ,'dst_host_srv_diff_host_rate','service'_private
'service'_shell,'count','flag'_S0
'diff_srv_rate','urgent','dst_host_srv_diff_host_rate'
'flag'_REJ,'dst_host_srv_diff_host_rate','service'_private
'service'_shell,'srv_rerror_rate','same_srv_rate'
'dst_host_count','urgent','srv_diff_host_rate'
'dst_host_count','urgent','srv_diff_host_rate'
'flag'_REJ,'dst_host_srv_diff_host_rate','serror_rate'
'dst_host_count','urgent','srv_diff_host_rate'
'dst_host_count','urgent','srv_diff_host_rate'
'protocol_type'_tcp,'service'_smtp,'service'_ssh
'dst_host_count','urgent','srv_diff_host_rate'
'diff_srv_rate','urgent','dst_host_srv_diff_host_rate'
'flag'_REJ,'service'_private,'dst_host_srv_diff_host_rate'
'flag'_REJ,'dst_host_srv_diff_host_rate','service'_private
'dst_host_same_srv_rate','service'_urh_i,'dst_host_srv_count'
'dst_host_count','urgent','srv_diff_host_rate'
'diff_srv_rate','urgent','dst_host_srv_diff_host_rate'
'srv_rerror_rate','same_srv_rate','dst_host_count'
'flag'_RSTO,'srv_count','dst_host_serror_rate'
'service'_pop_3,'flag'_RSTO,'service'_telnet
'diff_srv_rate','urgent','srv_diff_host_rate'
'same_srv_rate','dst_host_same_src_port_rate','service'_ftp_data
'dst_host_count','urgent','srv_diff_host_rate'
'diff_srv_rate','urgent','dst_host_srv_diff_host_rate'
'flag'_REJ,'dst_host_srv_diff_host_rate','service'_private
'flag'_REJ,'srv_count','dst_host_serror_rate'
'srv_diff_host_rate','diff_srv_rate','urgent'
'service'_shell,'urgent','diff_srv_rate'
'dst_host_count','urgent','srv_diff_host_rate'
'service'_domain_u,'protocol_type'_icmp,'service'_urp_i
'flag'_SH,'dst_host_same_src_port_rate','dst_host_diff_srv_rate'
'flag'_RSTO,'service'_telnet,'srv_count'
'rerror_rate','dst_host_count','flag'_S0
'wrong_fragment','service'_ftp,'num_access_files'
'flag'_REJ,'dst_host_srv_diff_host_rate','service'_private
'flag'_REJ,'dst_host_srv_diff_host_rate','service'_private
'service'_shell,'urgent','same_srv_rate'
'flag'_REJ,'dst_host_srv_diff_host_rate','service'_private
'su_attempted','service'_telnet,'duration'
'dst_host_count','urgent','diff_srv_rate'
'flag'_REJ,'dst_host_srv_diff_host_rate','service'_private
'dst_host_count','urgent','srv_diff_host_rate'
'urgent','srv_diff_host_rate','srv_serror_rate'
'flag'_REJ,'dst_host_srv_diff_host_rate','service'_private
'protocol_type'_tcp,'service'_smtp,'service'_ssh
'protocol_type'_tcp,'service'_smtp,'service'_ssh
'dst_host_count','diff_srv_rate','urgent'
'count','flag'_S0,'is_guest_login'
'diff_srv_rate','urgent','dst_host_srv_diff_host_rate'
'service'_ecr_i,'service'_smtp,'dst_host_srv_count'
