'flag'_OTH,'flag'_REJ,'flag'_RSTO,'flag'_RSTR,'flag'_S0,'flag'_S1,'flag'_S2,'flag'_S3,'flag'_SF,'flag'_SH,'service'_IRC,'service'_X11,'service'_auth,'service'_domain,'service'_domain_u,'service'_eco_i,'service'_ecr_i,'service'_finger,'service'_ftp,'service'_ftp_data,'service'_http,'service'_imap4,'service'_ntp_u,'service'_other,'service'_pop_3,'service'_private,'service'_red_i,'service'_shell,'service'_smtp,'service'_ssh,'service'_telnet,'service'_tftp_u,'service'_tim_i,'service'_time,'service'_urh_i,'service'_urp_i,'protocol_type'_icmp,'protocol_type'_tcp,'protocol_type'_udp,﻿id,'duration','src_bytes','dst_bytes','land','wrong_fragment','urgent','hot','num_failed_logins','logged_in','num_compromised','root_shell','su_attempted','num_root','num_file_creations','num_shells','num_access_files','num_outbound_cmds','is_host_login','is_guest_login','count','srv_count','serror_rate','srv_serror_rate','rerror_rate','srv_rerror_rate','same_srv_rate','diff_srv_rate','srv_diff_host_rate','dst_host_count','dst_host_srv_count','dst_host_same_srv_rate','dst_host_diff_srv_rate','dst_host_same_src_port_rate','dst_host_srv_diff_host_rate','dst_host_serror_rate','dst_host_srv_serror_rate','dst_host_rerror_rate','dst_host_srv_rerror_rate',Most Anomalous Feature,Second Most Anomalous Feature,Third Anomalous Feature
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,65,0,0,0,0,1,0,1,3,57,1,0,1,0.28,0,0,0,0,0,0,0,'service'_urh_i,'protocol_type'_icmp,'service'_red_i
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0.12,1,0.5,1,0,0.75,29,86,0.31,0.17,0.03,0.02,0,0,0.83,0.71,0,0,0,'service'_ssh,'flag'_RSTO,'service'_telnet
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1022,387,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,1,0,1,255,28,0.11,0.72,0,0,0,0,0.72,0.04,0,0,0,'service'_shell,'srv_diff_host_rate','srv_rerror_rate'
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,129,174,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,255,255,1,0,0,0,0.01,0.01,0.02,0.02,0,0,0,'wrong_fragment','service'_smtp,'service'_ssh
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,26,157,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,52,26,0.5,0.08,0.02,0,0,0,0,0,0,0,0,'wrong_fragment','service'_ftp,'service'_http
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,616,330,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,1,255,129,0.51,0.03,0,0,0,0,0.33,0,0,0,0,'service'_shell,'srv_rerror_rate','srv_diff_host_rate'
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,120,1,1,0,0,1,0,0,235,171,0.73,0.07,0,0,0.69,0.95,0.02,0,0,0,0,'service'_ssh,'count','flag'_S0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,37,773,364200,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,38,73,0.16,0.05,0.03,0.04,0,0.77,0,0.07,0,0,0,﻿id,'service'_ssh,'same_srv_rate'
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,45,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,505,505,0,0,0,0,1,0,0,255,255,1,0,1,0,0,0,0,0,0,0,0,'num_outbound_cmds','protocol_type'_icmp,'dst_host_srv_count'
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,255,87,0.34,0.01,0.01,0,1,1,0,0,0,0,0,'dst_host_diff_srv_rate','count','flag'_S0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273,13,0,0,1,1,0.05,0.06,0,255,13,0.05,0.06,0,0,0,0,1,1,0,0,0,'flag'_RSTO,'service'_telnet,'srv_count'
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,511,511,0,0,0,0,1,0,0,46,59,1,0,1,0.14,0,0,0,0,0,0,0,'service'_ecr_i,'service'_urh_i,'num_outbound_cmds'
